Timestamp,Count,Density,Zone A,Zone B
2026-03-28 01:17:35,1,Low,0,1
2026-03-28 01:17:40,1,Low,0,1
2026-03-28 01:17:46,1,Low,0,1
2026-03-28 01:17:51,1,Low,0,1
2026-03-29 11:19:30,4,23,Medium,14,9
2026-03-29 11:19:35,4,24,Medium,11,13
2026-03-29 11:19:45,4,21,Medium,6,15
2026-03-29 11:19:50,4,21,Medium,6,15
2026-03-29 11:19:55,4,22,Medium,10,12
2026-03-29 11:20:00,4,25,Medium,12,13
2026-03-29 11:20:05,4,22,Medium,13,9
2026-03-29 11:20:10,4,18,Medium,9,9
2026-03-29 11:20:15,4,15,Medium,5,10
2026-03-29 11:20:20,4,22,Medium,7,15
2026-03-29 11:20:25,4,18,Medium,10,8
2026-03-29 11:20:30,4,25,Medium,12,13
2026-03-29 11:20:35,4,23,Medium,14,9
2026-03-29 11:20:45,4,17,Medium,7,10
2026-03-29 11:20:50,4,24,Medium,7,17
2026-03-29 11:20:55,4,20,Medium,12,8
2026-03-29 11:21:00,4,25,Medium,12,13
2026-03-29 11:21:05,4,22,Medium,13,9
2026-03-29 11:21:15,4,25,Medium,13,12
2026-03-29 11:21:20,4,22,Medium,9,13
2026-03-29 11:21:25,4,16,Medium,6,10
2026-03-29 11:21:35,4,15,Medium,5,10
2026-03-29 11:21:40,4,26,High,8,18
2026-03-29 11:21:45,4,17,Medium,9,8
2026-03-29 11:21:50,4,19,Medium,10,9
2026-03-29 11:21:55,4,26,High,13,13
2026-03-29 11:22:05,4,24,Medium,14,10
2026-03-29 11:22:10,4,22,Medium,13,9
2026-03-29 11:22:15,4,22,Medium,11,11
2026-03-29 11:22:20,4,21,Medium,9,12
2026-03-29 11:22:25,4,21,Medium,9,12
2026-03-29 11:22:30,4,16,Medium,5,11
2026-03-29 11:22:35,4,17,Medium,7,10
2026-03-29 11:22:45,4,20,Medium,10,10
2026-03-29 11:22:50,4,23,Medium,11,12
2026-03-29 11:22:55,4,23,Medium,12,11
2026-03-29 11:23:00,4,23,Medium,10,13
2026-03-29 11:23:05,4,21,Medium,13,8
2026-03-29 11:23:15,4,24,Medium,13,11
2026-03-29 11:23:20,4,23,Medium,10,13
2026-03-29 11:23:25,4,20,Medium,9,11
2026-03-29 11:23:35,4,19,Medium,8,11
2026-03-29 11:23:40,4,25,Medium,8,17
2026-03-29 11:23:45,4,20,Medium,10,10
2026-03-29 11:23:50,4,19,Medium,10,9
2026-03-29 11:23:55,4,26,High,13,13
2026-03-29 11:24:00,4,23,Medium,10,13
2026-03-29 11:24:10,4,24,Medium,13,11
2026-03-29 11:24:15,4,24,Medium,14,10
2026-03-29 11:24:20,4,19,Medium,8,11
2026-03-29 11:24:25,4,20,Medium,7,13
2026-03-29 11:24:30,4,17,Medium,5,12
2026-03-29 11:24:35,4,20,Medium,5,15
2026-03-29 11:24:45,4,20,Medium,12,8
2026-03-29 11:24:50,4,25,Medium,12,13
2026-03-29 11:24:55,4,20,Medium,11,9
2026-03-29 11:25:00,4,24,Medium,15,9
2026-03-29 11:25:05,4,23,Medium,12,11
2026-03-29 11:25:10,4,19,Medium,8,11
2026-03-29 11:25:20,4,19,Medium,6,13
2026-03-29 11:25:25,4,14,Medium,5,9
2026-03-29 11:25:30,4,21,Medium,5,16
2026-03-29 11:25:35,4,20,Medium,10,10
2026-03-29 11:25:40,4,18,Medium,8,10
2026-03-29 11:25:45,4,29,High,13,16
2026-03-29 11:25:55,4,22,Medium,14,8
2026-03-29 11:26:00,4,23,Medium,14,9
2026-03-29 11:26:05,4,24,Medium,14,10
2026-03-29 11:26:10,4,20,Medium,9,11
2026-03-29 11:26:20,4,17,Medium,6,11
2026-03-29 11:26:25,4,18,Medium,7,11
2026-03-29 11:26:30,4,22,Medium,13,9
2026-03-29 11:26:35,4,18,Medium,8,10
2026-03-29 11:26:40,4,23,Medium,9,14
2026-03-29 11:26:50,4,20,Medium,11,9
2026-03-29 11:26:55,4,24,Medium,15,9
2026-03-29 11:27:00,4,21,Medium,10,11
2026-03-29 11:27:05,4,19,Medium,8,11
2026-03-29 11:27:10,4,19,Medium,8,11
2026-03-29 11:27:15,4,17,Medium,5,12
2026-03-29 11:27:20,4,16,Medium,7,9
2026-03-29 11:27:25,4,24,Medium,8,16
2026-03-29 11:27:35,4,22,Medium,14,8
2026-03-29 11:27:40,4,24,Medium,12,12
2026-03-29 11:27:45,4,21,Medium,11,10
2026-03-29 11:27:50,4,25,Medium,15,10
2026-03-29 11:28:00,4,22,Medium,12,10
2026-03-29 11:28:05,4,17,Medium,8,9
2026-03-29 11:28:10,4,18,Medium,7,11
2026-03-29 11:28:15,4,17,Medium,5,12
2026-03-29 11:28:20,4,22,Medium,13,9
2026-03-29 11:28:25,4,20,Medium,10,10
2026-03-29 11:28:30,4,23,Medium,12,11
2026-03-29 11:28:40,4,24,Medium,15,9
2026-03-29 11:28:45,4,23,Medium,12,11
2026-03-29 11:28:50,4,19,Medium,9,10
2026-03-29 11:28:55,4,16,Medium,5,11
2026-03-29 11:29:00,4,19,Medium,5,14
2026-03-29 11:29:05,4,19,Medium,9,10
2026-03-29 11:29:10,4,24,Medium,13,11
2026-03-29 11:29:20,4,23,Medium,14,9
2026-03-29 11:29:25,4,24,Medium,14,10
2026-03-29 11:29:30,4,19,Medium,9,10
2026-03-29 11:29:35,4,19,Medium,8,11
2026-03-29 11:29:40,4,20,Medium,6,14
2026-03-29 11:29:45,4,23,Medium,8,15
2026-03-29 11:29:50,4,22,Medium,11,11
2026-03-29 11:29:55,4,21,Medium,10,11
2026-03-29 11:30:00,4,25,Medium,12,13
2026-03-29 11:30:05,4,25,Medium,15,10
2026-03-29 11:30:15,4,23,Medium,13,10
2026-03-29 11:30:20,4,18,Medium,8,10
2026-03-29 11:30:25,4,16,Medium,5,11
2026-03-29 11:30:30,4,19,Medium,6,13
2026-03-29 11:30:35,4,21,Medium,12,9
2026-03-29 11:30:40,4,19,Medium,10,9
2026-03-29 11:30:45,4,21,Medium,11,10
2026-03-29 11:30:55,4,25,Medium,15,10
2026-03-29 11:31:00,4,22,Medium,11,11
2026-03-29 11:31:05,4,23,Medium,12,11
2026-03-29 11:31:10,4,20,Medium,7,13
2026-03-29 11:31:15,4,17,Medium,5,12
2026-03-29 11:31:20,4,24,Medium,7,17
2026-03-29 11:31:25,4,17,Medium,9,8
2026-03-29 11:31:35,4,22,Medium,9,13
2026-03-29 11:31:40,4,21,Medium,13,8
2026-03-29 11:31:45,4,23,Medium,12,11
2026-03-29 11:31:50,4,21,Medium,11,10
2026-03-29 11:31:55,4,20,Medium,9,11
2026-03-29 11:32:00,4,15,Medium,5,10
2026-03-29 11:32:10,4,20,Medium,10,10
2026-03-29 11:32:15,4,21,Medium,9,12
2026-03-29 11:32:20,4,22,Medium,9,13
2026-03-29 11:32:25,4,25,Medium,15,10
2026-03-29 11:32:30,4,22,Medium,11,11
2026-03-29 11:32:35,4,22,Medium,9,13
2026-03-29 11:32:40,4,21,Medium,10,11
2026-03-29 11:32:50,4,20,Medium,6,14
2026-03-29 11:32:55,4,23,Medium,11,12
2026-03-29 11:33:00,4,24,Medium,12,12
2026-03-29 11:33:05,4,25,Medium,12,13
2026-03-29 11:33:10,4,25,Medium,15,10
2026-03-29 11:33:20,4,23,Medium,13,10
2026-03-29 11:33:25,4,16,Medium,6,10
2026-03-29 11:33:35,4,20,Medium,7,13
2026-03-29 11:33:40,4,21,Medium,12,9
2026-03-29 11:33:45,4,19,Medium,10,9
2026-03-29 11:33:50,4,26,High,13,13
2026-03-29 11:33:55,4,20,Medium,10,10
2026-03-29 11:34:00,4,23,Medium,14,9
2026-03-29 11:34:05,4,24,Medium,13,11
2026-03-29 11:34:15,4,20,Medium,7,13
2026-03-29 11:34:20,4,14,Medium,4,10
2026-03-29 11:34:25,4,24,Medium,7,17
2026-03-29 11:34:30,4,18,Medium,8,10
2026-03-29 11:34:35,4,29,High,13,16
2026-03-29 11:37:21,4,24,Medium,12,12
2026-03-29 11:49:45,4,25,Medium,12,13
2026-03-29 11:49:50,4,20,Medium,11,9
2026-03-29 11:49:55,4,24,Medium,15,9
2026-03-29 11:50:05,4,21,Medium,9,12
2026-03-29 11:50:10,4,21,Medium,7,14
2026-03-29 11:50:15,4,19,Medium,8,11
2026-03-29 11:50:20,4,19,Medium,9,10
2026-03-29 11:50:25,4,27,High,12,15
2026-03-29 11:50:30,4,25,Medium,14,11
2026-03-29 11:50:35,4,23,Medium,12,11
2026-03-29 11:50:40,4,17,Medium,6,11
2026-03-29 11:50:50,4,22,Medium,13,9
2026-03-29 11:50:55,4,24,Medium,12,12
2026-03-29 11:51:00,4,24,Medium,14,10
2026-03-29 11:51:05,4,24,Medium,13,11
2026-03-29 11:51:10,4,20,Medium,9,11
2026-03-29 11:51:15,4,20,Medium,6,14
2026-03-29 11:51:20,4,19,Medium,9,10
2026-03-29 11:51:25,4,25,Medium,12,13
2026-03-29 11:51:30,4,25,Medium,14,11
2026-03-29 11:51:40,4,21,Medium,9,12
2026-03-29 11:51:45,4,20,Medium,6,14
2026-03-29 11:51:50,4,19,Medium,8,11
2026-03-29 11:51:55,4,22,Medium,10,12
2026-03-29 11:52:00,4,22,Medium,13,9
2026-03-29 11:52:05,4,18,Medium,8,10
2026-03-29 11:52:10,4,17,Medium,3,14
2026-03-29 11:52:15,4,18,Medium,10,8
2026-03-29 11:52:20,4,29,High,13,16
2026-03-29 11:52:25,4,21,Medium,13,8
2026-03-29 11:52:35,4,19,Medium,9,10
2026-03-29 11:52:40,4,18,Medium,7,11
2026-03-29 11:52:45,4,22,Medium,10,12
2026-03-29 11:52:50,4,25,Medium,12,13
2026-03-29 11:52:55,4,25,Medium,14,11
2026-03-29 11:53:00,4,23,Medium,10,13
2026-03-29 11:53:05,4,21,Medium,6,15
2026-03-29 11:53:10,4,21,Medium,11,10
2026-03-29 11:53:15,4,27,High,12,15
2026-03-29 11:53:20,4,20,Medium,12,8
2026-03-29 11:53:30,4,23,Medium,12,11
2026-03-29 11:53:35,4,18,Medium,7,11
2026-03-29 11:53:40,4,17,Medium,7,10
2026-03-29 11:53:45,4,21,Medium,11,10
2026-03-29 11:53:50,4,20,Medium,8,12
2026-03-29 11:53:55,4,25,Medium,12,13
2026-03-29 11:54:00,4,21,Medium,13,8
2026-03-29 11:54:10,4,23,Medium,10,13
2026-03-29 11:54:15,4,18,Medium,5,13
2026-03-29 11:54:20,4,20,Medium,7,13
2026-03-29 11:54:25,4,17,Medium,9,8
2026-03-29 11:54:30,4,24,Medium,13,11
2026-03-29 11:54:35,4,20,Medium,7,13
2026-03-29 11:54:40,4,22,Medium,13,9
2026-03-29 11:54:45,4,24,Medium,13,11
2026-03-29 11:54:55,4,20,Medium,9,11
2026-03-29 11:55:00,4,14,Medium,4,10
2026-03-29 11:55:05,4,24,Medium,7,17
2026-03-29 11:55:10,4,18,Medium,8,10
2026-03-29 11:55:15,4,24,Medium,12,12
2026-03-29 11:55:20,4,22,Medium,12,10
2026-03-29 11:55:25,4,22,Medium,14,8
2026-03-29 11:55:30,4,22,Medium,12,10
2026-03-29 11:55:35,4,16,Medium,6,10
2026-03-29 11:55:40,4,20,Medium,5,15
2026-03-29 11:55:45,4,21,Medium,5,16
2026-03-29 11:55:50,4,23,Medium,11,12
2026-03-29 11:56:00,4,22,Medium,9,13
2026-03-29 11:56:05,4,25,Medium,15,10
2026-03-29 11:56:10,4,23,Medium,12,11
2026-03-29 11:56:15,4,18,Medium,8,10
2026-03-29 11:56:20,4,17,Medium,6,11
2026-03-29 11:56:30,4,19,Medium,9,10
2026-03-29 11:56:35,4,20,Medium,8,12
2026-03-29 11:56:40,4,25,Medium,12,13
2026-03-29 11:58:00,4,22,Medium,9,13
2026-03-29 12:11:05,4,20,Medium,10,10
2026-03-29 12:11:10,4,23,Medium,15,8
2026-03-29 12:11:15,4,23,Medium,14,9
2026-03-29 12:11:20,4,22,Medium,11,11
2026-03-29 12:11:30,4,20,Medium,9,11
2026-03-29 12:11:35,4,15,Medium,5,10
2026-03-29 12:11:40,4,21,Medium,12,9
2026-03-29 12:11:45,4,22,Medium,14,8
2026-03-29 12:11:50,4,21,Medium,9,12
2026-03-29 12:11:55,4,24,Medium,14,10
2026-03-29 12:12:00,4,20,Medium,9,11
2026-03-29 12:12:05,4,17,Medium,4,13
2026-03-29 12:12:10,4,19,Medium,7,12
2026-06-27 15:24:00,4,24,Medium,12,12
2026-06-27 15:24:05,4,29,High,13,16
2026-06-27 15:24:10,4,25,Medium,12,13
2026-06-27 15:24:15,4,20,Medium,10,10
2026-06-27 15:24:25,4,24,Medium,15,9
2026-06-27 15:24:35,4,23,Medium,12,11
2026-06-27 15:24:40,4,22,Medium,9,13
2026-06-27 15:24:50,4,17,Medium,8,9
2026-06-27 15:24:55,4,19,Medium,6,13
2026-06-27 15:25:00,4,21,Medium,6,15
2026-06-27 15:25:10,4,22,Medium,7,15
2026-06-27 15:25:15,4,21,Medium,11,10
2026-06-27 15:25:25,4,19,Medium,10,9
2026-06-27 15:25:35,4,23,Medium,12,11
2026-06-27 15:25:40,4,23,Medium,10,13
2026-06-27 15:25:50,4,21,Medium,13,8
2026-06-27 15:25:55,4,23,Medium,13,10
2026-06-27 15:26:05,4,21,Medium,9,12
2026-06-27 15:26:10,4,17,Medium,4,13
2026-06-27 15:26:15,4,25,Medium,8,17
2026-06-27 15:37:05,4,24,Medium,12,12
2026-06-27 15:37:10,4,24,Medium,15,9
2026-06-27 15:37:15,4,19,Medium,9,10
2026-06-27 15:37:21,4,17,Medium,5,12
2026-06-27 15:37:30,4,25,Medium,12,13
2026-06-27 15:37:35,4,24,Medium,14,10
2026-06-27 15:37:40,4,19,Medium,9,10
2026-06-27 15:37:45,4,18,Medium,8,10
2026-06-27 15:37:50,4,16,Medium,3,13
2026-06-27 15:37:55,4,14,Medium,4,10
2026-06-27 15:38:05,4,19,Medium,9,10
2026-06-27 15:38:10,4,20,Medium,10,10
2026-06-27 15:38:15,4,25,Medium,11,14
2026-06-27 15:38:45,4,22,Medium,10,12
2026-06-27 15:38:50,4,25,Medium,12,13
2026-06-27 15:38:55,4,22,Medium,13,9
2026-06-27 15:39:00,4,16,Medium,6,10
2026-06-27 15:39:05,4,19,Medium,6,13
2026-06-27 15:39:10,4,19,Medium,10,9
2026-06-27 15:39:15,4,20,Medium,10,10
2026-06-27 15:39:20,4,23,Medium,12,11
2026-06-27 15:39:25,4,18,Medium,7,11
2026-06-27 15:39:30,4,25,Medium,8,17
2026-06-27 15:39:35,4,25,Medium,10,15
2026-06-27 15:39:40,4,21,Medium,13,8
2026-06-27 15:39:50,4,19,Medium,6,13
2026-06-27 15:39:55,4,21,Medium,11,10
2026-06-27 15:40:00,4,24,Medium,12,12
2026-06-27 15:40:05,4,24,Medium,15,9
2026-06-27 15:40:10,4,19,Medium,9,10
2026-06-27 15:40:15,4,20,Medium,6,14
2026-06-27 15:40:20,4,20,Medium,8,12
2026-06-27 15:40:25,4,22,Medium,13,9
2026-06-27 15:40:30,4,22,Medium,9,13
2026-06-27 15:40:35,4,20,Medium,5,15
2026-06-27 15:40:40,4,19,Medium,9,10
2026-06-27 15:40:45,4,24,Medium,11,13
2026-06-27 15:40:50,4,23,Medium,13,10
2026-06-27 15:40:55,4,20,Medium,9,11
2026-06-27 15:41:00,5,0,Low,0,0
2026-06-27 15:41:05,4,21,Medium,6,15
2026-06-27 15:41:05,5,0,Low,0,0
2026-06-27 15:41:10,4,20,Medium,9,11
2026-06-27 15:41:10,5,0,Low,0,0
2026-06-27 15:41:15,4,25,Medium,12,13
2026-06-27 15:41:15,5,0,Low,0,0
2026-06-27 15:41:20,4,25,Medium,12,13
2026-06-27 15:41:25,5,0,Low,0,0
2026-06-27 15:41:30,4,22,Medium,12,10
2026-06-27 15:41:35,5,0,Low,0,0
2026-06-27 15:41:40,4,23,Medium,15,8
2026-06-27 15:41:40,5,0,Low,0,0
2026-06-27 15:41:45,4,24,Medium,14,10
2026-06-27 15:41:45,5,0,Low,0,0
2026-06-27 15:41:55,4,25,Medium,15,10
2026-06-27 15:41:55,5,0,Low,0,0
2026-06-27 15:42:00,4,23,Medium,12,11
2026-06-27 15:42:05,4,20,Medium,10,10
2026-06-27 15:42:05,5,0,Low,0,0
2026-06-27 15:42:10,4,21,Medium,6,15
2026-06-27 15:42:10,5,0,Low,0,0
2026-06-27 15:42:15,4,19,Medium,8,11
2026-06-27 15:42:15,5,0,Low,0,0
2026-06-27 15:42:20,4,20,Medium,6,14
2026-06-27 15:42:25,5,0,Low,0,0
2026-06-27 15:42:35,5,0,Low,0,0
2026-06-27 15:42:35,4,19,Medium,9,10
2026-06-27 15:42:40,5,0,Low,0,0
2026-06-27 15:42:40,4,23,Medium,9,14
2026-06-27 15:42:45,4,25,Medium,12,13
2026-06-27 15:42:45,5,0,Low,0,0
2026-06-27 15:42:50,4,20,Medium,10,10
2026-06-27 15:42:50,5,0,Low,0,0
2026-06-27 15:42:55,5,0,Low,0,0
2026-06-27 15:42:55,4,24,Medium,13,11
2026-06-27 15:43:00,5,0,Low,0,0
2026-06-27 15:43:05,4,17,Medium,6,11
2026-06-27 15:43:05,5,0,Low,0,0
2026-06-27 15:43:10,5,0,Low,0,0
2026-06-27 15:43:20,4,20,Medium,6,14
2026-06-27 15:43:20,5,0,Low,0,0
2026-06-27 15:43:25,4,17,Medium,5,12
2026-06-27 15:43:30,4,18,Medium,7,11
2026-06-27 15:43:35,5,0,Low,0,0
2026-06-27 15:43:35,4,21,Medium,12,9
2026-06-27 15:43:40,5,0,Low,0,0
2026-06-27 15:43:45,4,25,Medium,12,13
2026-06-27 15:43:45,5,0,Low,0,0
2026-06-27 15:43:50,4,26,High,15,11
2026-06-27 15:43:50,5,0,Low,0,0
2026-06-27 15:43:55,4,24,Medium,11,13
2026-06-27 15:43:55,5,0,Low,0,0
2026-06-27 15:44:00,4,18,Medium,5,13
2026-06-27 15:44:00,5,0,Low,0,0
2026-06-27 15:44:05,4,20,Medium,6,14
2026-06-27 15:44:05,5,0,Low,0,0
2026-06-27 15:44:10,4,19,Medium,10,9
2026-06-27 15:44:15,5,0,Low,0,0
2026-06-27 15:44:15,4,25,Medium,12,13
2026-06-27 15:44:20,5,0,Low,0,0
2026-06-27 15:44:25,4,23,Medium,13,10
2026-06-27 15:44:25,5,0,Low,0,0
2026-06-27 15:44:30,4,20,Medium,7,13
2026-06-27 15:44:30,5,0,Low,0,0
2026-06-27 15:44:35,4,18,Medium,6,12
2026-06-27 15:44:35,5,0,Low,0,0
2026-06-27 15:44:40,4,21,Medium,10,11
2026-06-27 15:44:40,5,0,Low,0,0
2026-06-27 15:44:45,4,22,Medium,12,10
2026-06-27 15:44:45,5,0,Low,0,0
2026-06-27 15:44:50,4,22,Medium,14,8
2026-06-27 15:44:50,5,0,Low,0,0
2026-06-27 15:44:55,4,23,Medium,13,10
2026-06-27 15:44:55,5,0,Low,0,0
2026-06-27 15:45:00,4,20,Medium,10,10
2026-06-27 15:45:00,5,0,Low,0,0
2026-06-27 15:45:05,4,16,Medium,7,9
2026-06-27 15:45:10,5,0,Low,0,0
2026-06-27 15:45:15,4,22,Medium,10,12
2026-06-27 15:45:15,5,0,Low,0,0
2026-06-27 15:45:20,4,20,Medium,9,11
2026-06-27 15:45:20,5,0,Low,0,0
2026-06-27 15:45:25,4,23,Medium,14,9
2026-06-27 15:45:25,5,0,Low,0,0
2026-06-27 15:45:30,4,23,Medium,12,11
2026-06-27 15:45:30,5,0,Low,0,0
2026-06-27 15:45:35,4,20,Medium,8,12
2026-06-27 15:45:35,5,0,Low,0,0
2026-06-27 15:45:40,4,25,Medium,8,17
2026-06-27 15:45:40,5,0,Low,0,0
2026-06-27 15:45:45,4,19,Medium,8,11
2026-06-27 15:45:55,5,0,Low,0,0
2026-06-27 15:45:55,4,25,Medium,10,15
2026-06-27 15:46:00,5,0,Low,0,0
2026-06-27 15:46:00,4,25,Medium,12,13
2026-06-27 15:46:05,5,0,Low,0,0
2026-06-27 15:46:05,4,22,Medium,14,8
2026-06-27 15:46:10,5,0,Low,0,0
2026-06-27 15:46:10,4,24,Medium,13,11
2026-06-27 15:46:15,5,0,Low,0,0
2026-06-27 15:46:15,4,19,Medium,9,10
2026-06-27 15:46:20,5,0,Low,0,0
2026-06-27 15:46:20,4,17,Medium,3,14
2026-06-27 15:46:25,5,0,Low,0,0
2026-06-27 15:46:25,4,21,Medium,11,10
2026-06-27 15:46:30,5,0,Low,0,0
2026-06-27 15:46:35,4,20,Medium,7,13
2026-06-27 15:46:35,5,0,Low,0,0
2026-06-27 15:46:40,4,25,Medium,14,11
2026-06-27 15:46:40,5,0,Low,0,0
2026-06-27 15:46:45,4,22,Medium,11,11
2026-06-27 15:46:50,5,0,Low,0,0
2026-06-27 15:46:50,4,19,Medium,9,10
2026-06-27 15:46:55,5,0,Low,0,0
2026-06-27 15:46:55,4,17,Medium,4,13
2026-06-27 15:47:00,5,0,Low,0,0
2026-06-27 15:47:00,4,21,Medium,6,15
2026-06-27 15:47:05,5,0,Low,0,0
2026-06-27 15:47:10,4,20,Medium,10,10
2026-06-27 15:47:15,5,0,Low,0,0
2026-06-27 15:47:15,4,21,Medium,12,9
2026-06-27 15:47:20,5,0,Low,0,0
2026-06-27 15:47:25,5,0,Low,0,0
2026-06-27 15:47:25,4,25,Medium,12,13
2026-06-27 15:47:30,5,0,Low,0,0
2026-06-27 15:47:30,4,22,Medium,10,12
2026-06-27 15:47:35,5,0,Low,0,0
2026-06-27 15:47:40,4,22,Medium,13,9
2026-06-27 15:47:40,5,0,Low,0,0
2026-06-27 15:47:45,4,23,Medium,14,9
2026-06-27 15:47:50,5,0,Low,0,0
2026-06-27 15:47:55,4,23,Medium,12,11
2026-06-27 15:47:55,5,0,Low,0,0
2026-06-27 15:48:00,4,23,Medium,13,10
2026-06-27 15:48:05,5,0,Low,0,0
2026-06-27 15:48:05,4,19,Medium,8,11
2026-06-27 15:48:15,5,0,Low,0,0
2026-06-27 15:48:15,4,16,Medium,6,10
2026-06-27 15:48:20,4,20,Medium,9,11
2026-06-27 15:48:20,5,0,Low,0,0
2026-06-27 15:48:30,5,0,Low,0,0
2026-06-27 15:48:30,4,18,Medium,7,11
2026-06-27 15:48:35,5,0,Low,0,0
